place_name,place_id,yr,hpi_agg
Alaska,AK,1991,405.48
Alaska,AK,1992,417.19
Alaska,AK,1993,431.58
Alaska,AK,1994,447.75
Alaska,AK,1995,467.16
Alaska,AK,1996,486.65
Alaska,AK,1997,499.85
Alaska,AK,1998,517.15
Alaska,AK,1999,533.75
Alaska,AK,2000,546.06
Alaska,AK,2001,581.63
Alaska,AK,2002,619.49
Alaska,AK,2003,664.73
Alaska,AK,2004,728.01
Alaska,AK,2005,805.67
Alaska,AK,2006,870.97
Alaska,AK,2007,899.58
Alaska,AK,2008,889.56
Alaska,AK,2009,875.77
Alaska,AK,2010,880.25
Alaska,AK,2011,897.7
Alaska,AK,2012,896.77
Alaska,AK,2013,920.83
Alaska,AK,2014,942.63
Alaska,AK,2015,971.38
Alaska,AK,2016,991.08
Alaska,AK,2017,1003.68
Alaska,AK,2018,1021.27
Alaska,AK,2019,1056.67
Alaska,AK,2020,1104.95
Alaska,AK,2021,1220.78
Alaska,AK,2022,1337.1
Alaska,AK,2023,1405
Alaska,AK,2024,1477.56
Alaska,AK,2025,761.46
Alabama,AL,1991,407.52
Alabama,AL,1992,423.75
Alabama,AL,1993,443.79
Alabama,AL,1994,465.24
Alabama,AL,1995,481.67
Alabama,AL,1996,499.69
Alabama,AL,1997,515.21
Alabama,AL,1998,532.79
Alabama,AL,1999,552.46
Alabama,AL,2000,568.79
Alabama,AL,2001,584.37
Alabama,AL,2002,602.75
Alabama,AL,2003,628.52
Alabama,AL,2004,659.18
Alabama,AL,2005,707.86
Alabama,AL,2006,769.58
Alabama,AL,2007,802.03
Alabama,AL,2008,782.65
Alabama,AL,2009,762.32
Alabama,AL,2010,721.75
Alabama,AL,2011,686.04
Alabama,AL,2012,700.23
Alabama,AL,2013,719.67
Alabama,AL,2014,734.69
Alabama,AL,2015,755.8
Alabama,AL,2016,783.28
Alabama,AL,2017,816.82
Alabama,AL,2018,859.8
Alabama,AL,2019,910.11
Alabama,AL,2020,986
Alabama,AL,2021,1140.48
Alabama,AL,2022,1302.06
Alabama,AL,2023,1373.51
Alabama,AL,2024,1434.13
Alabama,AL,2025,735.87
Arkansas,AR,1991,404.81
Arkansas,AR,1992,417.38
Arkansas,AR,1993,440.22
Arkansas,AR,1994,467.94
Arkansas,AR,1995,487.15
Arkansas,AR,1996,500.81
Arkansas,AR,1997,512.81
Arkansas,AR,1998,524.18
Arkansas,AR,1999,541.85
Arkansas,AR,2000,557.86
Arkansas,AR,2001,577.82
Arkansas,AR,2002,600.23
Arkansas,AR,2003,631.44
Arkansas,AR,2004,674.39
Arkansas,AR,2005,720.11
Arkansas,AR,2006,760.73
Arkansas,AR,2007,775.3
Arkansas,AR,2008,752.78
Arkansas,AR,2009,740.59
Arkansas,AR,2010,713.7
Arkansas,AR,2011,704.79
Arkansas,AR,2012,722.49
Arkansas,AR,2013,741.02
Arkansas,AR,2014,753.97
Arkansas,AR,2015,770.33
Arkansas,AR,2016,793.81
Arkansas,AR,2017,824.19
Arkansas,AR,2018,857.64
Arkansas,AR,2019,895.12
Arkansas,AR,2020,953.78
Arkansas,AR,2021,1104.58
Arkansas,AR,2022,1269.14
Arkansas,AR,2023,1352.47
Arkansas,AR,2024,1421.19
Arkansas,AR,2025,728.36
Arizona,AZ,1991,401.2
Arizona,AZ,1992,409.87
Arizona,AZ,1993,425.03
Arizona,AZ,1994,453.28
Arizona,AZ,1995,478.74
Arizona,AZ,1996,501.4
Arizona,AZ,1997,519.36
Arizona,AZ,1998,544.44
Arizona,AZ,1999,575.94
Arizona,AZ,2000,609.17
Arizona,AZ,2001,645.85
Arizona,AZ,2002,684.11
Arizona,AZ,2003,739.86
Arizona,AZ,2004,845.79
Arizona,AZ,2005,1101.59
Arizona,AZ,2006,1265.25
Arizona,AZ,2007,1226.32
Arizona,AZ,2008,1006.2
Arizona,AZ,2009,812.08
Arizona,AZ,2010,729.75
Arizona,AZ,2011,657.16
Arizona,AZ,2012,745.53
Arizona,AZ,2013,865.81
Arizona,AZ,2014,926.6
Arizona,AZ,2015,988.69
Arizona,AZ,2016,1059.94
Arizona,AZ,2017,1144.67
Arizona,AZ,2018,1238.76
Arizona,AZ,2019,1327.45
Arizona,AZ,2020,1477.47
Arizona,AZ,2021,1837.09
Arizona,AZ,2022,2145.65
Arizona,AZ,2023,2175.94
Arizona,AZ,2024,2262.66
Arizona,AZ,2025,1139.81
California,CA,1991,398.84
California,CA,1992,390.81
California,CA,1993,368.67
California,CA,1994,352.93
California,CA,1995,344.18
California,CA,1996,340.86
California,CA,1997,348.99
California,CA,1998,380.22
California,CA,1999,418.7
California,CA,2000,470.96
California,CA,2001,533.26
California,CA,2002,609.8
California,CA,2003,714.98
California,CA,2004,885.04
California,CA,2005,1081.8
California,CA,2006,1128.29
California,CA,2007,1028.51
California,CA,2008,761.51
